LAT,LON,DEPTH,MAG,Date and Time
29.73,80.7454,20,7.5,28/08/1916 06:39:42
26.8847,86.5885,15,7.8,15/01/1934 08:43:26
28.3969,83.311,15,6.9,27/05/1936 06:19:15
28.2868,86.733,40,4.5,25/01/1964 07:13:32
27.366,87.7167,21,4.8,01/02/1964 11:28:20
30.0496,82.1363,21,5.1,24/05/1964 00:00:50
27.4404,88.2322,22,5.1,30/08/1964 02:35:09
29.8553,80.452,29.9,6,26/09/1964 00:46:02
29.3238,80.9165,17,5.2,06/10/1964 20:19:34
29.5208,85.9256,35,5.3,09/11/1964 16:12:53
29.4573,81.2309,20,5.2,02/12/1964 08:21:44
29.2868,80.9603,17,5.2,20/12/1964 03:31:34
27.3829,87.8286,22.8,6.1,12/01/1965 13:32:26
27.3269,87.6567,21,5.3,12/01/1965 13:55:20
29.5572,80.2798,10,5.2,18/03/1965 02:41:26
29.8243,80.267,10,5,13/05/1965 10:51:15
28.4637,83.0358,35,5.3,01/06/1965 07:52:28
27.8486,85.9525,19,4.5,11/01/1966 12:42:07
30.2342,82.0498,35,4.8,25/06/1966 12:05:05
29.4815,80.8388,27.9,6,27/06/1966 10:41:09
29.937,80.8036,35,5.3,27/06/1966 10:47:47
29.4295,80.8609,17,5.6,27/06/1966 10:49:47
29.7075,80.9233,23.8,6,27/06/1966 10:59:19
29.5704,80.8414,28.6,5.3,27/06/1966 11:21:44
29.6944,80.8136,23.2,5.4,27/06/1966 13:55:52
29.4786,80.8448,17,4.9,28/06/1966 15:43:39
29.6886,80.7931,17,5.3,29/06/1966 00:42:12
29.3726,81.1259,17,4.6,05/10/1966 07:57:20
28.2606,83.7887,35,4.9,05/11/1966 18:53:05
29.5431,80.8488,15.8,5.9,16/12/1966 20:52:17
29.6216,80.8187,17,5.1,16/12/1966 22:12:53
29.556,80.7404,17,4.8,18/12/1966 22:42:38
29.6499,80.7498,17,5.3,21/12/1966 22:11:00
28.5676,86.1766,10,4.9,02/03/1967 11:47:12
29.3512,81.378,27,4.8,11/03/1967 18:45:46
29.7135,84.9873,35,3.9,16/03/1967 17:38:31
29.3059,81.7845,31,5.1,18/12/1967 10:51:36
29.6164,80.5117,19,5.1,27/05/1968 18:35:58
27.6128,86.0925,19,4.8,28/10/1968 17:48:29
29.4086,81.011,17,5.2,05/03/1969 11:14:59
29.007,80.9907,35,4.9,05/12/1969 18:45:16
29.1351,81.6066,19.6,5.2,12/02/1970 01:51:49
27.6028,85.8968,19,5.2,26/02/1970 19:30:07
27.1975,85.7833,10,4.8,26/02/1970 23:21:20
27.9666,84.7519,12,5,21/07/1970 15:37:43
28.192,85.6143,18,4.9,06/06/1971 10:34:49
27.9276,83.7271,35,4.1,25/06/1971 01:10:09
28.1547,87.1952,35,4.7,24/10/1971 08:59:05
27.762,87.7669,35,5,04/12/1971 08:38:03
30.329,84.4196,35,5.1,04/02/1972 14:08:25
27.413,87.9544,20,4.8,21/08/1972 14:04:34
27.2981,87.8782,10,5.1,21/08/1972 18:55:07
30.2662,80.3806,11,4.6,10/02/1973 06:51:22
28.2085,87.1235,28.6,5,22/03/1973 01:06:59
28.3748,82.8828,25.4,5.1,16/10/1973 09:50:44
29.2377,81.2791,27,4.5,13/03/1974 06:47:51
27.7852,86.0684,24,5.7,24/03/1974 14:16:03
27.4549,85.8967,19,5,24/03/1974 16:17:38
29.2306,81.5732,33,4.5,06/05/1974 01:07:02
28.5856,85.4326,47,5.7,27/09/1974 05:26:38
29.3013,81.2625,27,5.3,23/12/1974 09:45:42
27.3816,88.2329,22,4.6,23/01/1975 01:37:43
28.0927,84.6786,46.2,5.1,31/01/1975 12:38:56
27.7985,87.492,68,4.8,06/02/1975 06:39:51
27.4852,87.0013,35,5,24/04/1975 01:35:55
27.6554,87.5264,10,4.9,24/06/1975 15:38:26
29.187,81.8084,13.5,5.2,06/09/1975 04:44:35
30.3953,85.7837,35,4.5,27/09/1975 19:46:41
26.7099,85.961,35,4.2,24/10/1975 17:44:19
27.0106,86.5438,10,4.9,21/11/1975 13:49:30
28.0615,87.6792,71,5.1,26/11/1975 15:02:36
29.3234,81.5126,19.5,5.3,10/05/1976 18:43:54
27.6467,85.8472,19,4.7,12/09/1976 15:36:12
29.4255,81.4419,27,5,29/09/1976 02:51:26
28.5664,86.0508,35,5.1,23/10/1976 16:09:20
29.5006,80.9459,17,4.6,20/09/1977 05:51:37
29.5052,81.1535,17,5,04/11/1977 23:54:47
30.0763,81.6492,33,4.4,01/01/1978 11:25:51
29.1336,81.205,35,4.4,04/02/1978 21:30:16
28.0882,84.6532,12.9,5.3,10/02/1978 17:29:51
29.3719,85.103,10,4.5,19/02/1978 04:52:29
29.2752,80.6522,19,4.7,28/02/1978 17:26:02
29.1915,81.3252,33,4.2,07/03/1978 10:22:00
27.9458,85.1637,12,4.5,13/08/1978 22:28:03
27.7901,85.9202,15.1,5.2,04/10/1978 13:53:51
28.8075,86.8963,10,4.4,23/10/1978 14:36:49
29.23,81.0139,35,4.3,12/12/1978 10:00:53
28.1118,84.176,35,4.7,25/12/1978 20:00:04
28.3131,82.8229,35,4.5,01/01/1979 21:52:49
27.1731,85.6339,35,4.2,05/05/1979 11:22:50
29.9634,80.3319,16.7,5.8,20/05/1979 22:59:13
26.6592,87.4765,12.7,5.3,19/06/1979 16:29:12
27.7714,84.3152,35,4.2,03/07/1979 16:56:54
27.4024,88.1505,10,4.9,16/11/1979 19:17:27
30.0799,81.6532,24.6,5.2,22/06/1980 14:38:54
29.2952,81.2185,8.5,5.8,29/07/1980 12:23:10
29.58,81.0481,17.5,6.1,29/07/1980 14:58:43
29.4258,80.9381,17,4.6,29/07/1980 18:44:23
29.0841,81.1444,35,4.6,29/07/1980 21:57:37
29.5392,80.7391,17,4.9,30/07/1980 01:00:42
29.6452,80.3234,19,4.5,30/07/1980 05:30:50
29.4185,80.8253,17,4.6,31/07/1980 14:22:01
29.3604,80.9173,17,4.7,04/08/1980 16:52:40
29.3255,80.9322,17,4.5,20/08/1980 01:05:54
29.8456,80.3194,23,4.5,08/09/1980 07:42:08
29.1774,81.0047,10,5,10/10/1980 14:02:26
29.5689,85.2937,35,5,18/11/1980 13:46:24
29.4451,85.2209,35,5,20/11/1980 14:03:31
27.7614,85.4424,18,4,25/11/1980 09:27:05
29.9716,80.5915,31.8,5.1,06/03/1981 05:58:51
28.0328,84.6336,35,4.6,09/04/1981 17:19:33
29.4246,81.9254,22.7,5.2,15/05/1981 17:22:44
29.3297,81.1126,17,4.8,10/09/1981 03:47:07
28.5413,83.2831,35,4.5,29/05/1982 20:29:50
27.833,85.7485,18,4.7,03/08/1982 08:03:30
28.5967,81.2717,10,4.6,09/09/1982 12:05:32
28.6956,82.0599,35,4.7,09/09/1982 12:29:01
28.8,81.05,     ,4.4,21/11/1982 08:10:21
28.042,85.1497,12,4.2,22/11/1982 13:56:58
29.9634,80.5904,23,4.7,06/12/1982 11:52:19
29.2411,81.4977,33,4.8,21/12/1982 12:08:49
29.2685,81.5016,27,4.7,21/12/1982 13:13:47
29.0394,81.3339,33,4.8,27/01/1983 04:45:42
30.1254,80.1717,16,4.3,20/05/1983 12:51:58
29.3473,80.649,17,4.6,05/07/1983 17:26:49
28.1001,84.9205,12,4.6,23/08/1983 22:43:09
30.354,83.105,33,4.6,23/11/1983 05:05:52
27.9114,84.8011,12,4.7,06/01/1984 23:48:08
27.539,85.9953,19,4.5,25/01/1984 23:49:47
29.8707,80.5653,19.8,5.1,19/02/1984 15:46:27
29.1103,81.2034,35,4.9,14/03/1984 01:32:15
29.4416,81.8721,22.1,5.5,18/05/1984 04:28:57
29.185,81.7966,40,4.7,19/05/1984 06:36:26
28.7379,83.9759,35,4.7,30/05/1984 22:27:27
28.6817,82.2374,10,4.3,21/07/1984 20:02:38
29.7418,81.4274,30,4.5,29/07/1984 16:37:03
29.5387,81.5237,25.7,4.7,15/09/1984 10:15:23
29.6257,80.2293,35,4.3,24/10/1984 08:19:31
28.7763,84.0166,10,5.3,18/11/1984 22:04:33
29.5407,81.5632,27,4.6,23/11/1984 06:14:19
27.3121,81.6989,10,4.7,05/12/1984 14:14:15
29.41,80.7506,17,4.7,18/12/1984 22:46:57
29.8639,81.5133,33,4.5,15/02/1985 04:54:44
28.4947,82.374,35,4.8,06/05/1985 20:59:47
29.5883,84.0185,35,4.6,13/09/1985 05:33:10
29.1841,83.9408,35,4.1,03/10/1985 20:23:26
28.8884,83.9134,35,4.6,21/10/1985 08:57:10
27.6244,85.7274,35,4.5,23/12/1985 13:49:46
27.805,85.3088,31.5,4.7,06/01/1986 09:50:43
28.778,86.631,59.6,5.5,10/01/1986 03:46:32
29.1489,81.6577,33,4.6,28/02/1986 20:51:21
28.57,86.6161,57,4.4,12/04/1986 12:44:05
29.1472,85.0913,35,4.1,05/09/1986 08:34:27
28.2134,83.6581,29.4,5.3,19/01/1987 07:46:25
28.3063,83.5861,31,5,19/01/1987 08:12:07
29.3384,81.5817,27,4.5,24/02/1987 22:17:03
27.9771,87.0041,18,4.8,23/04/1987 09:05:54
28.5659,87.1059,35,4.7,10/05/1987 05:10:44
28.3707,87.2072,34,4.1,22/06/1987 23:06:54
29.9637,80.3853,23,4,23/07/1987 21:01:48
