time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1913-03-06T11:04:00.800Z,30.201,81.929,15,6.5,mw,,,,,iscgem,iscgem914042,2022-04-26T00:08:10.546Z,"73 km E of Burang, China",earthquake,,10.5,0.48,,reviewed,iscgem,iscgem
1916-08-28T06:39:41.360Z,29.67,80.684,20,6.96,mw,,,,,iscgem,iscgem913843,2022-04-26T00:02:49.371Z,"21 km SE of D?rchul?, Nepal",earthquake,,4.6,0.44,,reviewed,iscgem,iscgem
1916-10-14T19:47:21.620Z,29.45,80.623,15,5.82,mw,,,,,iscgem,iscgem913854,2022-04-26T00:02:58.545Z,"17 km NNE of Dadeldhur?, Nepal",earthquake,,7.6,0.26,,reviewed,iscgem,iscgem
1916-12-24T07:53:22.420Z,29.527,80.671,15,5.93,mw,,,,,iscgem,iscgem913876,2022-04-26T00:03:37.738Z,"26 km NNE of Dadeldhur?, Nepal",earthquake,,7.6,0.26,,reviewed,iscgem,iscgem
1926-07-27T07:23:48.080Z,29.598,80.826,15,5.73,mw,,,,,iscgem,iscgem909958,2022-04-25T23:17:18.713Z,"37 km SE of D?rchul?, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1927-10-08T10:34:36.810Z,29.662,80.686,15,5.77,mw,,,,,iscgem,iscgem909548,2022-04-25T23:10:14.296Z,"22 km SE of D?rchul?, Nepal",earthquake,,7.6,0.2,,reviewed,iscgem,iscgem
1931-06-18T12:58:33.370Z,30.166,83.942,15,5.97,mw,,,,,iscgem,iscgem906827,2022-04-25T22:18:36.786Z,"155 km NW of Saga, China",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1934-01-15T08:43:25.820Z,27.275,86.941,15,8,mw,,,,,iscgem,iscgem904745,2022-04-25T21:41:08.852Z,Nepal,earthquake,,3.9,0.3,,reviewed,iscgem,iscgem
1935-03-05T22:15:56.510Z,29.822,80.371,15,6.04,mw,,,,,iscgem,iscgem904141,2022-04-25T21:31:52.651Z,"14 km W of Dh?rchula, India",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1936-02-11T04:47:40.620Z,28.263,86.73,15,5.86,mw,,,,,iscgem,iscgem903473,2022-04-25T21:20:17.310Z,"35 km NNW of Lobujya, Nepal",earthquake,,10.5,0.56,,reviewed,iscgem,iscgem
1936-05-27T06:19:14.800Z,28.378,83.32,15,6.87,mw,,,,,iscgem,iscgem903650,2022-04-25T21:22:55.775Z,"28 km WNW of B?glung, Nepal",earthquake,,3.8,0.3,,reviewed,iscgem,iscgem
1936-09-07T02:30:53.930Z,27.901,86.263,15,5.67,mw,,,,,iscgem,iscgem903830,2022-04-25T21:08:28.664Z,"30 km ESE of Kod?ri??, Nepal",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1937-04-30T19:32:59.720Z,29.784,81.436,15,5.97,mw,,,,,iscgem,iscgem903055,2022-04-25T21:07:37.749Z,"62 km SSE of Burang, China",earthquake,,25,0.44,,reviewed,iscgem,iscgem
1937-04-30T20:03:30.130Z,29.652,81.237,15,5.68,mw,,,,,iscgem,iscgem903056,2022-04-25T21:07:38.945Z,"52 km NNE of Dipayal, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1937-12-20T04:59:41.120Z,29.378,80.742,15,5.44,mw,,,,,iscgem,iscgem9342031,2022-04-26T00:10:35.063Z,"17 km ENE of Dadeldhur?, Nepal",earthquake,,7.6,0.2,,reviewed,iscgem,iscgem
1938-01-29T04:13:10.790Z,27.603,87.098,15,5.79,mw,,,,,iscgem,iscgem902347,2022-04-25T20:52:40.891Z,"27 km NNW of Kh??db?ri??, Nepal",earthquake,,5.1,0.2,,reviewed,iscgem,iscgem
1945-06-04T12:08:59.980Z,30.271,80.118,15,6.37,mw,,,,,iscgem,iscgem898946,2022-04-26T19:01:14.994Z,"58 km NE of B?geshwar, India",earthquake,,55.5,0.2,,reviewed,iscgem,iscgem
1945-09-19T10:41:02.780Z,29.168,83.145,25,5.78,mw,,,,,iscgem,iscgem899103,2024-01-17T20:32:33.376Z,"94 km E of Jumla, Nepal",earthquake,,25,0.68,,reviewed,iscgem,iscgem
1951-05-28T15:59:23.720Z,28.925,86.685,15,5.97,mw,,,,,iscgem,iscgem894375,2022-04-26T18:14:50.536Z,"108 km N of Lobujya, Nepal",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1952-11-19T10:23:32.010Z,29.682,86.506,15,5.84,mw,,,,,iscgem,iscgem893776,2022-04-26T18:10:54.777Z,"130 km ENE of Saga, China",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1953-02-23T00:46:10.840Z,29.529,81.382,10,5.82,mw,,,,,iscgem,iscgem891513,2022-04-26T17:49:31.029Z,"52 km NE of Dipayal, Nepal",earthquake,,10.2,0.26,,reviewed,iscgem,iscgem
1953-08-29T01:58:29.180Z,28.168,82.333,15,5.77,mw,,,,,iscgem,iscgem891953,2022-04-26T17:54:41.482Z,"5 km NE of Tuls?pur, Nepal",earthquake,,25,0.38,,reviewed,iscgem,iscgem
1954-09-04T06:43:49.430Z,28.169,83.825,15,5.91,mw,,,,,iscgem,iscgem891025,2022-04-26T17:46:34.078Z,"17 km SW of Pokhara, Nepal",earthquake,,25,0.5,,reviewed,iscgem,iscgem
1957-04-14T07:11:57.950Z,30.521,84.348,15,6.43,mw,,,,,iscgem,iscgem886386,2022-04-26T17:11:04.966Z,"157 km NNW of Saga, China",earthquake,,25,0.28,,reviewed,iscgem,iscgem
1958-10-28T10:46:33.740Z,30.472,84.553,15,6.3,mw,,,,,iscgem,iscgem885333,2022-04-26T17:04:29.662Z,"142 km NNW of Saga, China",earthquake,,3.6,0.22,,reviewed,iscgem,iscgem
1958-11-03T14:31:39.320Z,30.44,84.54,15,5.55,mw,,,,,iscgem,iscgem885378,2022-04-26T17:04:37.658Z,"140 km NNW of Saga, China",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
